Name,Latitude,Longitude,geometry
Central Park,40.785091,-73.968285,POINT (-73.968285 40.785091)
The National 9/11 Memorial & Museum,40.7115,-74.0133,POINT (-74.0133 40.7115)
The Metropolitan Museum of Art,40.779437,-73.963244,POINT (-73.963244 40.779437)
Empire State Building,40.748817,-73.985428,POINT (-73.985428 40.748817)
The High Line,40.747993,-74.004765,POINT (-74.004765 40.747993)
Top of the Rock,40.7591,-73.9794,POINT (-73.9794 40.7591)
Statue of Liberty,40.689247,-74.044502,POINT (-74.044502 40.689247)
Times Square,40.758,-73.9855,POINT (-73.9855 40.758)
Broadway,40.759,-73.9845,POINT (-73.9845 40.759)
Grand Central Terminal,40.7527,-73.9772,POINT (-73.9772 40.7527)
